tau(s);Signal(a.u.)
2e-05;-621.3404973556924
2.74764759176652e-05;-599.5893162109383
3.77478364427018e-05;-565.1911809410717
5.1858875948093e-05;-536.2397318181037
7.12449578052482e-05;-477.2058231090715
9.78780183695488e-05;-406.14347824219334
0.000134467150729985;-312.8301383851593
0.000184734171437475;-204.30039147696183
0.00025379220063358;-69.7708932745781
0.000348665764439991;80.7535130056103
0.000479005323997487;262.8635852684662
0.000658068912462518;442.95511305638615
0.000904070731272026;640.028643566199
0.00124203388378309;804.7948139961404
0.00170633570483451;950.8357929715728
0.00234420459506689;1099.918276649897
0.00322052405512177;1209.1656548532812
0.00442443258214074;1301.0166970273558
0.00607839076462616;1378.7844477627643
0.00835063787312047;1428.855956837
0.0114723050208969;1471.0407918554613
0.0157609256313391;1484.2403542773366
0.0216527346774801;1495.5980138923283
0.0297470421458688;1512.2600949989735
0.0408671943571368;1521.3578861242288
0.0561443240788206;1526.4198173742043
0.0771324084232652;1510.7494900378872
0.105966338125668;1527.2474613102072
0.145579076879654;1518.91048463174
0.199999999999988;1519.7820102938126
