tau(s);Signal(a.u.)
2e-05;-564.1572416859018
2.81411197873058e-05;-556.9873428886962
3.95961311441747e-05;-555.7185383677861
5.57139734821045e-05;-545.7666738275092
7.83926800793341e-05;-522.1441757255067
0.000110302890028024;-513.4647602677261
0.000155202342058232;-491.183879534317
0.000218378384956556;-454.4189790240265
0.000307270614501041;-429.56868711753503
0.000432346958489643;-368.17795273796077
0.000608336377426719;-299.0824177922796
0.000855963343407048;-189.54038020760305
0.00120438834901803;-49.056635315913255
0.00169464184000759;102.4902581393701
0.00238445595081169;308.3006142633431
0.0033550630269673;533.1774224947211
0.00472076152679237;812.9641954009752
0.00664237578063844;1052.8737343514629
0.00934619462576226;1328.126346170522
0.0131506191259525;1582.3132628209423
0.0185036574050332;1804.1141769372298
0.0260356819769153;2011.9969845059804
0.0366336622628286;2151.3518114943754
0.0515456138992982;2245.5708801905203
0.0725275647625183;2298.968415041917
0.10205034439318;2308.6434100861698
0.143590548295215;2315.6898445996953
0.202039940995028;2310.7282625592647
0.284281509068064;2332.7127932400604
0.400000000000023;2327.3897862580307
