tau(s);Signal(a.u.)
2e-05;-557.0822792948467
2.76887120420678e-05;-533.2985435726574
3.83332387274275e-05;-527.4224423061271
5.30699004381791e-05;-526.840133846283
7.34718595666975e-05;-501.7835724057016
0.000101717058136877;-468.8538469920324
0.000140820716625912;-428.5733539649816
0.000194957213610626;-397.2717840818918
0.000269905707409426;-326.460437147631
0.00037366707054851;-255.73598397247557
0.000517317995801036;-152.03870301529133
0.000716193450995726;-10.953090808953615
0.000991523711551772;130.4905550550495
0.00137270072660197;309.91414204739846
0.00190041575694095;515.343817271978
0.00263100323270732;713.3350322210588
0.00364245454460912;898.5900319923569
0.00504274375060016;1047.9916150958845
0.00698135398061524;1189.1506661417823
0.00966523500164996;1301.571674796203
0.01338089543898;1388.246447946272
0.0185249880337468;1462.0730200460184
0.0256466529624584;1506.9359175609543
0.0355061394360177;1544.0132800707265
0.0491559635284701;1572.692490955587
0.0680532659645098;1577.6197098160665
0.0942153642406783;1585.0008857525213
0.130435104519934;1595.9617378141593
0.180579002461473;1603.300210699725
0.249999999999979;1578.9290863529895
