tau(s);Signal(a.u.)
2e-05;-263.3921744291806
2.8821841099875e-05;-261.52771080201387
4.15349262193222e-05;-273.712421083252
5.98556521794168e-05;-264.1404220084515
8.62575048022269e-05;-268.4269674052858
0.000124305004854074;-257.8670573338575
0.000179134954891166;-255.18370858144692
0.000258149960265323;-250.65362859511123
0.00037201785673531;-222.18012902484986
0.000536111977657058;-188.23663426419125
0.000772586711588573;-161.9045416828484
0.00111336857186404;-119.77451541770442
0.00160446660319301;-81.99360068571248
0.00231218407436425;-24.323136421789968
0.0033320700992494;87.1522805105106
0.00480181974671055;160.11253582686408
0.00691986428649667;269.25957146459024
0.00997216144490535;356.7354674413159
0.0143708026293681;440.64568933613896
0.0207096494930656;504.33857735463755
0.0298445113461622;535.2349262674288
0.0430086881861252;588.8300429242387
0.0619794788407286;622.5653677221288
0.0893181345300273;615.8039812487568
0.128715654038085;633.6645359431792
0.185491106387609;636.4619265101526
0.267309759687184;647.283445068267
0.385217970907489;633.8230350909367
0.555134557315596;634.4647125625143
0.799999999999977;648.1822413655174
