tau(s);Signal(a.u.)
2e-05;-1120.1331669818042
2.76887120420678e-05;-1104.0937146038477
3.83332387274275e-05;-1121.283731735376
5.30699004381791e-05;-1071.7053034603623
7.34718595666975e-05;-1021.9685634258661
0.000101717058136877;-987.9444350709624
0.000140820716625912;-907.4264145435002
0.000194957213610626;-846.7080008319911
0.000269905707409426;-719.5510589445455
0.00037366707054851;-562.9057709360272
0.000517317995801036;-378.29399170266635
0.000716193450995726;-132.17599626486927
0.000991523711551772;156.04157435691002
0.00137270072660197;519.9751607281131
0.00190041575694095;860.016810234943
0.00263100323270732;1245.505679837666
0.00364245454460912;1555.1019269920896
0.00504274375060016;1887.176433967697
0.00698135398061524;2121.7419932123767
0.00966523500164996;2328.7926171836366
0.01338089543898;2516.575524633549
0.0185249880337468;2617.109838026257
0.0256466529624584;2758.9283880592466
0.0355061394360177;2782.885925946275
0.0491559635284701;2817.372689758641
0.0680532659645098;2848.362089596098
0.0942153642406783;2877.177883849174
0.130435104519934;2823.42850671254
0.180579002461473;2858.666412349961
0.249999999999979;2841.6462324623353
