T(K);T1(s);fr(MHz);r;y0;s;dT1;popts0;popts1;popts2;popts3;integral left;integral right;SHL;phase;mirroring;TAU(us);D1(us);D2(us);D3(us);D9(ms);NS
40.0;0.0006918878720208908;56.11;0.8750866342520758;312.63567761731775;0.1662088005692239;0.00018522305336228823;0.0006918878720208908;312.63567761731775;0.1662088005692239;0.8750866342520758;4074;4118;334;0.8016225704000701;False;60.0;4.5;9.0;25.0;30;512
45.0;0.0008059702841995742;56.12;0.7176197237515017;394.30457603634346;0.37212123862780044;4.1114950619499676e-05;0.0008059702841995742;394.30457603634346;0.37212123862780044;0.7176197237515017;4084;4107;334;0.7803655213270746;False;60.0;4.5;9.0;25.0;30;512
50.0;0.0012780131741706986;56.12;0.700315929595613;690.2731024775729;0.47078689020525516;3.1121565460623e-05;0.0012780131741706986;690.2731024775729;0.47078689020525516;0.700315929595613;4084;4107;334;0.7905752775211573;True;100.0;5.0;10.0;25.0;30;256
55.0;0.0015359434603461717;56.12;0.6709225279315175;1063.8158589810807;0.5079962579763041;3.282200579858576e-05;0.0015359434603461717;1063.8158589810807;0.5079962579763041;0.6709225279315175;4084;4107;336;0.7130144741599288;True;100.0;5.0;10.0;25.0;30;256
60.0;0.0018782865377635375;56.12;0.6572253053439324;1406.292594426451;0.5346521777472585;3.793377283451401e-05;0.0018782865377635375;1406.292594426451;0.5346521777472585;0.6572253053439324;4084;4107;334;0.7712324427229822;True;100.0;5.0;10.0;25.0;30;256
65.0;0.002319284613803052;56.12;0.6617030656048078;1658.4659804681057;0.551379162952061;5.279791322931611e-05;0.002319284613803052;1658.4659804681057;0.551379162952061;0.6617030656048078;4084;4107;335;0.6851427253179506;True;100.0;5.0;10.0;25.0;30;256
70.0;0.0028473545199300806;56.12;0.671957155167878;1855.0244133581948;0.558678279310474;6.34650184765467e-05;0.0028473545199300806;1855.0244133581948;0.558678279310474;0.671957155167878;4084;4107;336;0.6920391756109716;True;100.0;5.0;10.0;25.0;30;256
75.0;0.0034926454911600245;56.13;0.6813308404506633;1755.2740123675958;0.5602842965325788;8.217614221792104e-05;0.0034926454911600245;1755.2740123675958;0.5602842965325788;0.6813308404506633;4086;4106;335;0.7568617794059089;True;100.0;5.0;10.0;25.0;30;256
80.0;0.004181089484588499;56.13;0.6953308267920992;1797.1108779433769;0.5549496409825853;0.00010090352355301323;0.004181089484588499;1797.1108779433769;0.5549496409825853;0.6953308267920992;4086;4106;333;0.7568447043188726;True;100.0;5.0;10.0;25.0;50;128
85.0;0.0048908269042640395;56.14;0.7178865738171385;1854.521590550447;0.5690191263752626;9.32350499784402e-05;0.0048908269042640395;1854.521590550447;0.5690191263752626;0.7178865738171385;4086;4106;335;0.7140226271439171;True;100.0;5.5;11.0;25.0;50;128
90.0;0.005818477552371111;56.14;0.738540089354302;1876.5976508129525;0.5614321413235718;0.00012107322556533876;0.005818477552371111;1876.5976508129525;0.5614321413235718;0.738540089354302;4086;4106;335;0.7154771465422148;True;100.0;5.5;11.0;25.0;50;128
