T(K);T1(s);fr(MHz);r;y0;s;dT1;popts0;popts1;popts2;popts3;integral left;integral right;SHL;phase;mirroring;TAU(us);D1(us);D2(us);D3(us);D9(ms);NS
80.0;0.004734493463947255;56.13;0.6800678032697275;3454.2673527349716;0.4826858355321333;0.0001096652136566516;0.004734493463947255;3454.2673527349716;0.4826858355321333;0.6800678032697275;4080;4110;347;1.292667131486587;True;100.0;7.0;12.0;25.0;50;128
85.0;0.0058250097704065145;56.13;0.6833559994378466;3381.4372445069457;0.4743179072517694;0.00013845616864864964;0.0058250097704065145;3381.4372445069457;0.4743179072517694;0.6833559994378466;4080;4110;346;1.3365555984934916;True;100.0;7.0;12.0;25.0;50;128
90.0;0.0066906458850801796;56.13;0.6930193615324498;3444.586090563001;0.48319595638129886;0.00014286658210535538;0.0066906458850801796;3444.586090563001;0.48319595638129886;0.6930193615324498;4080;4110;347;1.1789980881983604;True;100.0;7.0;12.0;25.0;50;128
95.0;0.007589710868833327;56.13;0.7004060752724482;3334.775248022489;0.47589594844503896;0.00018279195543034575;0.007589710868833327;3334.775248022489;0.47589594844503896;0.7004060752724482;4080;4110;346;1.1759676580707081;True;100.0;7.0;12.0;25.0;50;128
100.0;0.008492842666771862;56.13;0.738101422776866;3227.3599753124818;0.4620625292352139;0.0002019905464142699;0.008492842666771862;3227.3599753124818;0.4620625292352139;0.738101422776866;4080;4110;347;1.1702367562521991;True;100.0;7.0;12.0;25.0;50;128
105.0;0.009295571994229307;56.145;0.717235763281896;3375.0846379491018;0.4527893217517372;0.000204686374985064;0.009295571994229307;3375.0846379491018;0.4527893217517372;0.717235763281896;4080;4110;345;1.5246193729257218;True;100.0;7.0;12.0;25.0;50;128
110.0;0.00857198750766436;56.145;0.7392735141469035;3137.2081411306085;0.437026686031068;0.0003592613687834585;0.00857198750766436;3137.2081411306085;0.437026686031068;0.7392735141469035;4080;4110;344;1.2914331453548273;True;100.0;7.0;12.0;25.0;100;128
115.0;0.009105595911662425;56.145;0.7835854441760717;2990.4885554075504;0.4197229074772363;0.00022442981774971026;0.009105595911662425;2990.4885554075504;0.4197229074772363;0.7835854441760717;4080;4110;344;1.2612164509571548;True;100.0;7.0;12.0;25.0;100;128
120.0;0.010612705923009898;56.145;0.7254374193852011;2977.566721799678;0.4267000992604954;0.00035829698817243773;0.010612705923009898;2977.566721799678;0.4267000992604954;0.7254374193852011;4080;4110;344;1.2664258642327944;True;100.0;7.0;12.0;25.0;100;128
125.0;0.011017467106474478;56.15;0.7823079322443763;2873.4394258407983;0.41780307114488574;0.00021765150417714526;0.011017467106474478;2873.4394258407983;0.41780307114488574;0.7823079322443763;4080;4110;343;1.3070132762418245;True;100.0;7.0;12.0;25.0;100;128
130.0;0.01184851213880534;56.15;0.7848295128091808;2821.8730361401354;0.42430872719764023;0.000560429800134347;0.01184851213880534;2821.8730361401354;0.42430872719764023;0.7848295128091808;4080;4110;342;1.391881410790651;True;100.0;7.0;12.0;25.0;100;128
