T(K);T1(s);fr(MHz);r;y0;s;dT1;popts0;popts1;popts2;popts3;integral left;integral right;SHL;phase;mirroring;TAU(us);D1(us);D2(us);D3(us);D9(ms);NS
200.0;0.03321235339754205;56.16;0.8266546500271718;2569.9748981419925;0.36125428845651497;0.0007011827832448412;0.03321235339754205;2569.9748981419925;0.36125428845651497;0.8266546500271718;4077;4113;354;1.3981230727253966;True;100.0;9.0;14.0;25.0;500;128
205.0;0.03359301907150844;56.16;0.8252248405875999;2274.65344337475;0.36933234097223583;0.0006801052417701801;0.03359301907150844;2274.65344337475;0.36933234097223583;0.8252248405875999;4080;4113;354;1.1685937037321152;True;100.0;9.0;14.0;25.0;500;128
210.0;0.0337806626942269;56.16;0.8384149929956622;2217.0022497033287;0.37041754130649335;0.0005589444671889114;0.0337806626942269;2217.0022497033287;0.37041754130649335;0.8384149929956622;4080;4113;354;1.1924683741845086;True;100.0;9.0;14.0;25.0;500;128
215.0;0.03603376897324868;56.16;0.8543044007955913;2139.8204074104065;0.3582288388283231;0.000720479687398289;0.03603376897324868;2139.8204074104065;0.3582288388283231;0.8543044007955913;4080;4113;352;1.1830318542221585;True;100.0;9.0;14.0;25.0;500;128
220.0;0.03713015953813302;56.16;0.8352114883158497;2103.1390138073252;0.36474456080166834;0.0008225605953851865;0.03713015953813302;2103.1390138073252;0.36474456080166834;0.8352114883158497;4080;4113;352;1.233188758975253;True;100.0;9.0;14.0;25.0;500;128
225.0;0.03846811361611482;56.16;0.8269662499045274;2046.3399041478715;0.3615894727403339;0.0009468751591538415;0.03846811361611482;2046.3399041478715;0.3615894727403339;0.8269662499045274;4080;4113;353;1.1998979821107716;True;100.0;9.0;14.0;25.0;500;128
230.0;0.03877504630577832;56.16;0.8153378523300551;1991.1857546573376;0.36755748431337143;0.000855576489093367;0.03877504630577832;1991.1857546573376;0.36755748431337143;0.8153378523300551;4080;4113;352;1.2142555448944754;True;100.0;9.0;14.0;25.0;500;128
235.0;0.03980206888645767;56.16;0.8216462167868215;1938.710558269632;0.3630120747137965;0.0010399437467729124;0.03980206888645767;1938.710558269632;0.3630120747137965;0.8216462167868215;4080;4113;352;1.2857972700118867;True;100.0;9.0;14.0;25.0;500;128
240.0;0.040830755409429625;56.16;0.8464701699009748;1919.121628684836;0.3718444698932843;0.0008885653952837687;0.040830755409429625;1919.121628684836;0.3718444698932843;0.8464701699009748;4080;4113;352;1.3135072084322794;True;100.0;9.0;14.0;25.0;500;128
245.0;0.04124607427398198;56.16;0.8460971496176546;1822.0969733066872;0.3583947804818649;0.0007132868826172722;0.04124607427398198;1822.0969733066872;0.3583947804818649;0.8460971496176546;4080;4113;351;1.2756724555730625;True;100.0;9.0;14.0;25.0;500;128
250.0;0.04309418878458083;56.16;0.8453100116846936;1786.0610447525987;0.34491670519908085;0.0008803061514483584;0.04309418878458083;1786.0610447525987;0.34491670519908085;0.8453100116846936;4080;4113;350;1.209852274471077;True;100.0;9.0;14.0;25.0;500;128
