T [K],CF2_0,CF2_0 ci95 low,CF2_0 ci95 high,CF4_4,CF2_0 ci95 low,CF2_0 ci95 high,CF4_0,CF2_0 ci95 low,CF2_0 ci95 high,CF6_4,CF2_0 ci95 low,CF2_0 ci95 high,CF6_0,CF2_0 ci95 low,CF2_0 ci95 high,HStr_1,HStr_1 ci95 low,HStr_1 ci95 high,HStr_2,HStr_2 ci95 low,HStr_2 ci95 high,HStr_3,HStr_3 ci95 low,HStr_3 ci95 high
8.000,2939400.000,2367690.000,3511100.000,5506.260,1748.200,9264.330,47740.000,38911.900,56568.100,-8222.053,-10617.200,-5827.880,584.444,238.965,929.923,9094.020,8642.430,9545.600,8225.600,6259.760,10191.400,9597.130,9452.050,9742.210
10.000,3074010.000,2382590.000,3765430.000,3618.270,2504.660,4731.880,50379.500,40798.200,59960.800,-8889.880,-11956.500,-5823.270,678.391,409.662,947.119,9124.380,8694.680,9554.090,8088.210,6220.410,9956.010,9596.740,9450.660,9742.820
12.000,3040320.000,2980720.000,3099920.000,4988.610,4436.350,5540.870,50483.200,49345.100,51621.300,-7765.950,-8041.940,-7489.950,644.820,569.877,719.763,8629.960,8590.870,8669.060,5739.080,5739.080,5739.080,9682.490,9555.960,9809.030
15.000,3002390.000,2916260.000,3088520.000,4995.170,4572.910,5417.440,50399.200,49139.700,51658.700,-8488.920,-9015.070,-7962.770,677.626,604.158,751.093,9112.120,9057.090,9167.150,7532.160,7532.160,7532.160,9496.500,9342.450,9650.550
20.000,2989270.000,2878230.000,3100310.000,5044.270,4745.640,5342.890,51346.300,49843.400,52849.200,-8357.160,-8929.770,-7785.560,683.983,632.524,735.442,9381.480,9322.100,9440.870,5946.790,5946.790,5946.790,9426.380,9270.960,9581.790
30.000,2937990.000,2841870.000,3034120.000,3347.320,3161.330,3533.300,51669.400,50188.800,53149.900,-9463.230,-9874.230,-9052.230,523.446,482.034,564.859,9364.190,9303.820,9424.560,16955.000,16955.000,16955.000,8743.410,8597.910,8888.900
40.000,2889680.000,2648080.000,3131280.000,5612.040,4296.350,6927.740,54237.600,50335.300,58140.000,-7999.090,-9350.610,-6647.570,591.275,416.270,766.281,9778.020,9674.760,9881.270,6744.330,6744.330,6744.330,8531.530,8346.730,8716.320
50.000,2957960.000,2559610.000,3356310.000,3838.720,3172.680,4504.770,57747.600,49995.100,65500.100,-8701.530,-11295.700,-6107.330,736.566,330.339,1142.790,10413.700,10186.100,10641.300,3861.060,3861.060,3861.060,8987.050,8645.830,9328.270
