fr(MHz);area(A.U.)
55.74;-16.341426846882246
55.76;13.859421914601786
55.78;5.2543536105669
55.8;-35.61047401005076
55.82;28.60049435179638
55.84;38.89069853511033
55.86;69.01710577190794
55.88;168.75295697172723
55.9;236.32432547639323
55.92;354.9938523538721
55.94;497.3173669383526
55.96;727.3547560775048
55.98;920.4578867488782
56.0;1093.7433533912113
56.02;1281.4973491288852
56.04;1370.4923579587112
56.06;1547.063385556073
56.08;1794.7974861597436
56.1;2167.6498213633017
56.12;2738.920538086761
56.14;3255.7334389748603
56.16;3724.634700955602
56.18;3966.414181330886
56.2;4132.63212959861
56.22;4012.2419839034983
56.24;3877.6205521670813
56.26;3646.4961480330735
56.28;3161.6718200127016
56.3;2526.9178243416413
56.32;1921.5405383335687
56.34;1385.5599300458257
56.36;1045.3990106724114
56.38;788.0119979234395
56.4;707.034717825479
56.42;583.684326563691
56.44;626.7025880797275
56.46;690.5144120296228
56.48;687.0891900658819
56.5;732.6366333409259
56.52;693.2449912273757
56.54;593.5234739325241
56.56;443.5383527513974
56.58;293.80624381785174
56.6;138.48732497647663
56.62;45.78936423949485
56.64;25.61583587763829
56.66;-4.961616761347194
56.68;-3.182708514542218
56.7;27.41975325364777
56.72;-8.885198773722852
56.74;-8.260687040989533
56.76;19.62690272136347
56.78;-0.24800668443823248
56.8;1.5498336179603829
56.82;-7.0502366362894655
