[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.250000
GAIN=4.974204
D0=0.05
D1=5E-006
D2=9.5E-006
D3=2.5E-005
D4=1E-005
D5=0.00234420459506689
D6=0.001
D7=0.001
D8=0.001
D9=0.05
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1.PC
DATEWR=16.09.2024
TIMEWR=15:34:03
DATESTA=16.09.2024
TIMESTA=15:33:55
DATEEND=16.09.2024
TIMEEND=15:34:02
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0= 80.00
_ITC_R1= 80.06
_ITC_R2= 80.59
_ITC_R3=  0.00
_ITC_R4=  0.06
_ITC_V= 24.16
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.25000000
_FR_SYNT=526.25000000
_TRIMLEV=1.533203125
_DATE=16.09.2024
_TIME=15:31:29
_ITC_DIR=M35
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0002478 -0.0021047
-0.0007787 -0.0017417
-0.0009503 -0.0005495
-0.0014905 -0.0000476
-0.0015693 -0.0000237
-0.0012499 -0.0003286
-0.0008555 -0.0009757
-0.0008079 -0.0022580
 0.0000100 -0.0032666
 0.0008288 -0.0044309
 0.0012875 -0.0052658
 0.0024022 -0.0058161
 0.0030248 -0.0066938
 0.0037968 -0.0068638
 0.0047081 -0.0070552
 0.0058851 -0.0076648
 0.0068674 -0.0071117
 0.0078881 -0.0068860
 0.0082935 -0.0067148
 0.0089282 -0.0056623
 0.0095831 -0.0049896
 0.0099485 -0.0041648
 0.0101984 -0.0032632
 0.0108339 -0.0030912
 0.0111448 -0.0028938
 0.0112421 -0.0025441
 0.0115135 -0.0021742
 0.0114590 -0.0024770
 0.0116883 -0.0018427
 0.0113629 -0.0016663
 0.0106196 -0.0010909
 0.0101412 -0.0008830
 0.0087265 -0.0008326
 0.0072189 -0.0006089
 0.0052337 -0.0005815
 0.0030568 -0.0005909
 0.0011100 -0.0004984
-0.0003960 -0.0002925
-0.0007912 -0.0001755
-0.0007339  0.0004193
-0.0006151  0.0006849
 0.0000583  0.0004681
 0.0006478  0.0003069
 0.0009655 -0.0003661
 0.0013866 -0.0008639
 0.0013776 -0.0009172
 0.0012953 -0.0014493
 0.0012157 -0.0013855
 0.0011507 -0.0010560
 0.0004735 -0.0006729
 0.0003435 -0.0002093
 0.0004003 -0.0000963
 0.0004204  0.0000551
 0.0002511  0.0001326
 0.0006815  0.0004168
 0.0010440  0.0000535
 0.0020841  0.0006070
 0.0032809  0.0007192
 0.0043303  0.0011056
 0.0058181  0.0020064
 0.0069810  0.0031179
 0.0080490  0.0040199
 0.0083910  0.0046097
 0.0086886  0.0050247
 0.0084476  0.0047699
 0.0080779  0.0047767
 0.0075611  0.0046681
 0.0072211  0.0047173
 0.0065114  0.0057605
 0.0063704  0.0067299
 0.0058290  0.0076257
 0.0050327  0.0086355
 0.0043887  0.0089968
 0.0028528  0.0093630
 0.0015604  0.0087930
 0.0003560  0.0085705
-0.0005419  0.0077566
-0.0015569  0.0072625
-0.0022053  0.0068648
-0.0032033  0.0063674
-0.0042249  0.0061381
