        FREQ         D1         D0     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
        55.7     7E-006       0.05 0.304830976116273     295.08          0 1.5673828125
       55.72     7E-006       0.05 0.428593928396098     295.03          0 1.66015625
       55.74     7E-006       0.05 0.610290468712235     295.09          0 1.8212890625
       55.76     7E-006       0.05 0.101984436851904     295.05          0 1.513671875
       55.78     7E-006       0.05 0.305142467652407     295.02          0  1.6015625
        55.8     7E-006       0.05 0.349533640419631     295.01          0 1.8115234375
       55.82     7E-006       0.05 0.428963939044997     295.05          0 1.4990234375
       55.84     7E-006       0.05 0.0940796697751432     295.07          0 1.6455078125
       55.86     7E-006       0.05 0.505150906056794      295.1          0 1.650390625
       55.88     7E-006       0.05 0.354691270150535     295.09          0 1.650390625
        55.9     7E-006       0.05 1.83748098622979     295.08          0 1.7724609375
       55.92     7E-006       0.05 3.0968915060105     295.04          0  1.6015625
       55.94     7E-006       0.05 4.39200967667422     295.08          0 1.650390625
       55.96     7E-006       0.05 5.8813808752707     295.13          0 1.6552734375
       55.98     7E-006       0.05 7.48859733194408     295.04          0  1.7578125
          56     7E-006       0.05 7.46491962448358      295.1          0 1.6357421875
       56.02     7E-006       0.05 8.43587914802008        295          0   1.640625
       56.04     7E-006       0.05 8.68778567875612     295.07          0    1.71875
       56.06     7E-006       0.05 8.60366811307828     295.03          0 1.767578125
       56.08     7E-006       0.05 8.85629821087795     295.13          0 1.7626953125
        56.1     7E-006       0.05 10.3947183704033     295.15          0 1.845703125
       56.12     7E-006       0.05 13.7854724257096     295.09          0 1.8994140625
       56.14     7E-006       0.05 24.4222128604269     295.05          0 1.6455078125
       56.16     7E-006       0.05 36.0278131032124     295.05          0 1.8505859375
       56.18     7E-006       0.05 38.3852310400758     295.03          0 1.7529296875
        56.2     7E-006       0.05 33.5104182307533     295.11          0 1.865234375
       56.22     7E-006       0.05 30.4867217161833     295.09          0 1.533203125
       56.24     7E-006       0.05 29.9266046353408     295.04          0     1.5625
       56.26     7E-006       0.05 25.1988490411765     295.12          0 1.708984375
       56.28     7E-006       0.05 18.2730947570465     295.09          0 1.6259765625
        56.3     7E-006       0.05 12.2272891517294      295.1          0 1.787109375
       56.32     7E-006       0.05 10.0019159164632      295.1          0 1.708984375
       56.34     7E-006       0.05 8.86771859048312     295.12          0   1.484375
       56.36     7E-006       0.05 8.45379305400836     295.07          0 1.4990234375
       56.38     7E-006       0.05 6.46951775637103     295.07          0 1.46484375
        56.4     7E-006       0.05 5.06023971764184     295.07          0 1.689453125
       56.42     7E-006       0.05 3.57090716765362     295.05          0 1.5283203125
       56.44     7E-006       0.05 3.49952182447831     295.12          0 1.7529296875
       56.46     7E-006       0.05 3.94727614944787     295.07          0 1.6943359375
       56.48     7E-006       0.05 3.26417478085963     295.08          0 1.6162109375
        56.5     7E-006       0.05 3.72612935899977        295          0     1.5625
       56.52     7E-006       0.05 3.474092687307     295.07          0 1.5380859375
       56.54     7E-006       0.05 2.89848684661497     295.12          0 1.5673828125
       56.56     7E-006       0.05 1.49488795566758     295.06          0 1.5771484375
       56.58     7E-006       0.05 0.483773506446974     295.11          0 1.4794921875
        56.6     7E-006       0.05 0.442527072271291     295.11          0 1.4990234375
       56.62     7E-006       0.05 0.388468073963614     295.06          0 1.533203125
       56.64     7E-006       0.05 0.0578405769334989        295          0     1.5625
       56.66     7E-006       0.05 0.12216506679489     295.12          0 1.5185546875
       56.68     7E-006       0.05 0.0547359738380528     295.08          0 1.5869140625
        56.7     7E-006       0.05 0.490866269723231     295.14          0 1.7041015625
       56.72     7E-006       0.05 0.121670209850234     295.09          0 1.650390625
       56.74     7E-006       0.05 0.200218067788599     295.14          0 1.69921875
       56.76     7E-006       0.05 0.28950160360523     295.17          0 1.5185546875
       56.78     7E-006       0.05 0.633135740599913     295.06          0 1.435546875
