        FREQ         D1         D9     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
       55.87   4.5E-006       0.05 2.50213209083773         35       2.42 1.7138671875
       55.89   4.5E-006       0.05 3.12661750139028         35       2.42 1.669921875
       55.91   4.5E-006       0.05 3.09877023995004         35       2.42 1.7529296875
       55.93   4.5E-006       0.05 3.60271147887254         35       2.42  1.7578125
       55.95   4.5E-006       0.05 4.71385532234497         35       2.42 1.9482421875
       55.97   4.5E-006       0.05 4.42828330168701         35       2.42 1.982421875
       55.99   4.5E-006       0.05 6.32787373451778         35       2.42 1.943359375
       56.01   4.5E-006       0.05 6.3115137787229         35       2.42 1.650390625
       56.03   4.5E-006       0.05 6.06655726091825         35       2.42 1.81640625
       56.05   4.5E-006       0.05 4.38984396078038         35       2.42 1.5869140625
       56.07   4.5E-006       0.05 7.06673927635653         35       2.42 1.669921875
       56.09   4.5E-006       0.05 6.76530006725496         35       2.42  1.7578125
       56.11   4.5E-006       0.05 6.89245465314129         35       2.42 1.81640625
       56.13   4.5E-006       0.05 7.04250097621576         35       2.42 1.533203125
       56.15   4.5E-006       0.05 6.50642182770223         35       2.42 1.7431640625
       56.17   4.5E-006       0.05 5.96061756809846         35       2.42 1.533203125
       56.19   4.5E-006       0.05 5.97505882816228         35       2.42 1.7822265625
       56.21   4.5E-006       0.05 5.72602529918581         35       2.42 1.611328125
       56.23   4.5E-006       0.05 4.42286866453391         35       2.42  1.8359375
       56.25   4.5E-006       0.05 4.55197043357006         35       2.42   1.640625
       56.27   4.5E-006       0.05 4.12366141880004         35       2.42 1.58203125
       56.29   4.5E-006       0.05 3.25729105239308         35       2.42 1.7724609375
       56.31   4.5E-006       0.05 2.32736089830542         35       2.42 1.6845703125
       56.33   4.5E-006       0.05 1.81523278792804         35       2.42 1.650390625
       56.35   4.5E-006       0.05 1.59020073745707         35       2.42 1.572265625
       56.37   4.5E-006       0.05 1.79844315884601         35       2.42 1.5869140625
