[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.130000
GAIN=4.974204
D0=0.05
D1=7E-006
D2=1.2E-005
D3=2.5E-005
D4=1E-005
D5=0.00263100323270732
D6=0.001
D7=0.001
D8=0.001
D9=0.05
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1_solid.PC
DATEWR=12.09.2024
TIMEWR=15:33:55
DATESTA=12.09.2024
TIMESTA=15:33:47
DATEEND=12.09.2024
TIMEEND=15:33:54
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0= 80.00
_ITC_R1= 79.97
_ITC_R2= 80.47
_ITC_R3=  0.00
_ITC_R4= -0.03
_ITC_V= 22.15
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.13000000
_FR_SYNT=526.13000000
_TRIMLEV=2.67578125
_DATE=12.09.2024
_TIME=15:31:18
_ITC_DIR=I3I3
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0028336  0.0058659
-0.0028748  0.0059923
-0.0030464  0.0064038
-0.0031808  0.0065839
-0.0025279  0.0067083
-0.0025077  0.0070208
-0.0023268  0.0069502
-0.0019969  0.0060697
-0.0022396  0.0055113
-0.0023667  0.0046981
-0.0021858  0.0035583
-0.0027022  0.0031807
-0.0031398  0.0033252
-0.0037862  0.0031871
-0.0039784  0.0040470
-0.0042359  0.0040479
-0.0039048  0.0047383
-0.0033222  0.0052559
-0.0028586  0.0056564
-0.0028195  0.0059963
-0.0030258  0.0060237
-0.0030460  0.0055904
-0.0040852  0.0050808
-0.0045459  0.0042983
-0.0045298  0.0035017
-0.0045577  0.0028948
-0.0046199  0.0030748
-0.0048755  0.0029904
-0.0051484  0.0029233
-0.0055926  0.0024384
-0.0062099  0.0022401
-0.0066420  0.0019296
-0.0068968  0.0018137
-0.0068076  0.0016215
-0.0068129  0.0015872
-0.0064672  0.0017245
-0.0061055  0.0018251
-0.0058382  0.0018667
-0.0055705  0.0017403
-0.0053796  0.0016120
-0.0049225  0.0010843
-0.0041962  0.0009249
-0.0039855  0.0006435
-0.0033536  0.0000828
-0.0030726 -0.0006209
-0.0032668 -0.0013440
-0.0034219 -0.0025916
-0.0038144 -0.0033833
-0.0032411 -0.0043443
-0.0032274 -0.0048712
-0.0026137 -0.0048732
-0.0017497 -0.0048805
-0.0010362 -0.0042870
-0.0003054 -0.0039208
-0.0003357 -0.0035534
 0.0000342 -0.0034734
-0.0006360 -0.0039640
-0.0007862 -0.0043971
-0.0012505 -0.0047419
-0.0014274 -0.0046810
-0.0016075 -0.0043503
-0.0015773 -0.0037107
-0.0015280 -0.0032811
-0.0016686 -0.0025680
-0.0016355 -0.0016398
-0.0020598 -0.0012283
-0.0024801 -0.0006893
-0.0031443 -0.0011116
-0.0037721 -0.0011302
-0.0039990 -0.0011286
-0.0039908 -0.0016498
-0.0036537 -0.0016733
-0.0028825 -0.0015429
-0.0020120 -0.0012768
-0.0010672 -0.0014153
 0.0001239 -0.0009591
 0.0011587 -0.0009216
 0.0015620 -0.0008675
 0.0019238 -0.0006361
 0.0023243 -0.0009389
 0.0021680 -0.0004807
 0.0020134 -0.0002905
 0.0017041 -0.0000402
 0.0014591  0.0004387
 0.0012669  0.0006090
 0.0007686  0.0006788
 0.0005534  0.0005738
 0.0006661  0.0001752
 0.0010621 -0.0003905
 0.0015962 -0.0009037
 0.0023407 -0.0015077
 0.0035092 -0.0017089
 0.0042763 -0.0015264
 0.0050228 -0.0012204
 0.0057997 -0.0013399
 0.0063225 -0.0008570
 0.0071410 -0.0011610
 0.0077495 -0.0014420
 0.0089483 -0.0017012
 0.0100175 -0.0020209
 0.0107923 -0.0022615
 0.0113907 -0.0020850
 0.0113935 -0.0018747
 0.0107193 -0.0018194
 0.0103106 -0.0016878
 0.0094607 -0.0016155
 0.0083609 -0.0017585
 0.0075671 -0.0017848
 0.0067753 -0.0024029
 0.0061531 -0.0024857
 0.0058624 -0.0028907
 0.0055494 -0.0028531
 0.0055309 -0.0032326
