[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.250000
GAIN=4.974204
D0=0.05
D1=5E-006
D2=1.05E-005
D3=2.5E-005
D4=1E-005
D5=5E-005
D6=0.001
D7=0.001
D8=0.001
D9=0.05
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_two_T2.PC
DATEWR=26.09.2024
TIMEWR=13:56:44
DATESTA=26.09.2024
TIMESTA=13:56:34
DATEEND=26.09.2024
TIMEEND=13:56:44
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0= 70.00
_ITC_R1= 70.06
_ITC_R2= 70.78
_ITC_R3=  0.00
_ITC_R4=  0.06
_ITC_V=  4.98
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.25000000
_FR_SYNT=526.25000000
_TRIMLEV=1.73828125
_DATE=26.09.2024
_TIME=13:44:47
_ITC_DIR=M35
[PPFILE]
; pi/2 - pi


DELAY D9
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY 1m
STOP

;PHL 1 [+X] [+X] [+Y] [+Y] [-X] [-X] [-Y] [-Y]
;PHL 2 [+Y] [-Y] [-X] [+X] [-Y] [+Y] [+X] [-X]
;!RLS +X+X+Y+Y-X-X-Y-Y

PHL 1 [+X] [+X] [-X] [-X] [+Y] [+Y] [-Y] [-Y] [+X] [+X] [-X] [-X] [+Y] [+Y] [-Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
!RLS +X+X-X-X+Y+Y-Y-Y-X-X+X+X-Y-Y+Y+Y
[DATA]
 0.0010109  0.0002898
 0.0016064  0.0000076
 0.0018600  0.0000113
 0.0022040  0.0002661
 0.0024926  0.0005196
 0.0026465  0.0006791
 0.0024720  0.0005851
 0.0018971  0.0005330
 0.0014562 -0.0001327
 0.0011292 -0.0003984
 0.0012846 -0.0011231
 0.0008886 -0.0016233
 0.0012540 -0.0020663
 0.0009887 -0.0024349
 0.0013570 -0.0023792
 0.0016517 -0.0022706
 0.0016748 -0.0023126
 0.0019889 -0.0020510
 0.0021444 -0.0017886
 0.0020140 -0.0011963
 0.0022292 -0.0006453
 0.0017124 -0.0003041
 0.0014847 -0.0002702
 0.0015300 -0.0001959
 0.0014331 -0.0001818
 0.0008981 -0.0002469
 0.0007322 -0.0001496
 0.0010395  0.0001177
 0.0008344  0.0004641
 0.0009692  0.0004060
 0.0009507  0.0005606
 0.0006188  0.0009087
 0.0002667  0.0007193
 0.0002036  0.0006652
-0.0004747  0.0005522
-0.0008502  0.0003455
