[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.130000
GAIN=4.974204
D0=0.05
D1=7E-006
D2=1.2E-005
D3=2.5E-005
D4=1E-005
D5=0.00263100323270732
D6=0.001
D7=0.001
D8=0.001
D9=0.05
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1_solid.PC
DATEWR=12.09.2024
TIMEWR=17:36:25
DATESTA=12.09.2024
TIMESTA=17:36:18
DATEEND=12.09.2024
TIMEEND=17:36:25
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0= 95.00
_ITC_R1= 90.06
_ITC_R2= 90.47
_ITC_R3=  0.00
_ITC_R4= -4.94
_ITC_V= 34.69
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.13000000
_FR_SYNT=526.13000000
_TRIMLEV=1.6796875
_DATE=12.09.2024
_TIME=17:22:45
_ITC_DIR=M35
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] 
[-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0085086  0.0021622
-0.0086882  0.0013559
-0.0089599  0.0006376
-0.0088686 -0.0002151
-0.0088301 -0.0012064
-0.0092031 -0.0019449
-0.0086588 -0.0031949
-0.0084977 -0.0043908
-0.0083006 -0.0057745
-0.0073974 -0.0065771
-0.0071071 -0.0072469
-0.0058737 -0.0077181
-0.0052022 -0.0074516
-0.0044331 -0.0070067
-0.0037209 -0.0069647
-0.0030498 -0.0065427
-0.0024567 -0.0066186
-0.0014845 -0.0066380
-0.0009185 -0.0067159
-0.0006376 -0.0066982
-0.0004696 -0.0068310
-0.0006279 -0.0065084
-0.0007281 -0.0069554
-0.0004983 -0.0077662
 0.0000528 -0.0079863
 0.0008570 -0.0090296
 0.0017218 -0.0098399
 0.0030259 -0.0103042
 0.0034136 -0.0108618
 0.0040289 -0.0111303
 0.0042562 -0.0106935
 0.0045610 -0.0108126
 0.0048173 -0.0106015
 0.0050753 -0.0102636
 0.0055270 -0.0097504
 0.0063207 -0.0091392
 0.0074661 -0.0085077
 0.0082728 -0.0077184
 0.0093496 -0.0068321
 0.0105435 -0.0055284
 0.0111221 -0.0049272
 0.0117580 -0.0037390
 0.0118356 -0.0027615
 0.0119296 -0.0016875
 0.0114298 -0.0010755
 0.0113300 -0.0001129
 0.0108693  0.0007947
 0.0106537  0.0017052
 0.0096771  0.0025015
 0.0079260  0.0034317
 0.0063167  0.0038465
 0.0045156  0.0045001
 0.0025376  0.0050601
 0.0013465  0.0060586
 0.0005604  0.0064212
 0.0001679  0.0073990
 0.0001772  0.0082078
 0.0001755  0.0087419
 0.0001892  0.0089216
 0.0001460  0.0086394
-0.0002165  0.0079515
-0.0002702  0.0068807
-0.0006691  0.0054789
-0.0010239  0.0043678
-0.0016852  0.0026265
-0.0027915  0.0016094
-0.0043527  0.0002855
-0.0058813 -0.0007662
-0.0072544 -0.0016262
-0.0088221 -0.0019839
-0.0095719 -0.0020561
-0.0099574 -0.0022442
-0.0100362 -0.0020641
-0.0098472 -0.0020419
-0.0095618 -0.0018485
-0.0092166 -0.0016729
-0.0090442 -0.0010773
-0.0090010 -0.0010224
-0.0089573 -0.0014859
-0.0086085 -0.0018934
-0.0082745 -0.0022459
-0.0074658 -0.0027279
-0.0067165 -0.0030805
-0.0056788 -0.0035036
-0.0046436 -0.0034879
-0.0041087 -0.0035505
-0.0036492 -0.0035953
-0.0033012 -0.0036220
-0.0036262 -0.0038994
-0.0035062 -0.0046387
-0.0031017 -0.0050090
-0.0022776 -0.0058222
-0.0010074 -0.0065429
 0.0004691 -0.0071982
 0.0022734 -0.0073771
 0.0035428 -0.0074546
 0.0050214 -0.0072245
 0.0061390 -0.0071656
 0.0066445 -0.0071276
 0.0070139 -0.0065902
 0.0075550 -0.0060871
 0.0075437 -0.0054181
 0.0074250 -0.0044976
 0.0072845 -0.0034050
 0.0064725 -0.0020234
 0.0055975 -0.0012312
 0.0050879 -0.0008473
 0.0045985 -0.0005880
 0.0042440 -0.0003720
 0.0044107 -0.0002315
 0.0046699  0.0005216
 0.0052189  0.0010622
 0.0056533  0.0015802
 0.0061616  0.0026897
 0.0065383  0.0029356
 0.0068168  0.0037737
 0.0075556  0.0045723
 0.0082379  0.0052780
 0.0085960  0.0064040
 0.0092032  0.0071695
 0.0092928  0.0080897
 0.0094850  0.0088584
 0.0093320  0.0094358
 0.0091055  0.0099312
 0.0082484  0.0100422
 0.0079238  0.0101148
 0.0073307  0.0103158
 0.0066217  0.0105169
 0.0062535  0.0100525
 0.0056918  0.0104522
 0.0052679  0.0103218
 0.0046452  0.0104058
 0.0041260  0.0106417
 0.0030100  0.0109409
 0.0018739  0.0109506
 0.0011076  0.0112903
 0.0003627  0.0112867
 0.0001329  0.0113409
-0.0003071  0.0116821
-0.0006677  0.0114795
-0.0009737  0.0114892
-0.0019875  0.0116298
-0.0030655  0.0112160
-0.0049046  0.0108538
-0.0065502  0.0105312
-0.0081918  0.0098481
-0.0094503  0.0095211
-0.0103821  0.0088880
-0.0107939  0.0086991
-0.0109226  0.0082352
-0.0115743  0.0076953
-0.0108217  0.0067695
-0.0104377  0.0060149
-0.0099956  0.0047434
-0.0093984  0.0030958
-0.0085308  0.0015575
-0.0078128 -0.0003204
-0.0071151 -0.0019697
-0.0064372 -0.0033327
-0.0062579 -0.0042763
-0.0061780 -0.0054229
-0.0062692 -0.0062264
-0.0063624 -0.0075062
-0.0067799 -0.0085580
-0.0071578 -0.0095112
-0.0069987 -0.0103183
-0.0067883 -0.0111593
-0.0064633 -0.0108759
-0.0062344 -0.0103946
-0.0059526 -0.0094793
-0.0055973 -0.0085891
-0.0054859 -0.0074304
-0.0048416 -0.0064821
-0.0038262 -0.0063081
-0.0032375 -0.0054805
-0.0020287 -0.0052815
-0.0010157 -0.0050830
-0.0000209 -0.0046708
 0.0003759 -0.0046761
 0.0003917 -0.0052987
 0.0003250 -0.0057808
 0.0002026 -0.0070106
 0.0002176 -0.0081799
 0.0011292 -0.0089445
 0.0016552 -0.0091141
 0.0025547 -0.0092441
 0.0041673 -0.0089723
 0.0051525 -0.0084208
 0.0061013 -0.0076133
 0.0074168 -0.0072326
 0.0079829 -0.0068333
 0.0079107 -0.0068774
 0.0081000 -0.0076506
 0.0075763 -0.0078977
 0.0072242 -0.0088784
 0.0068063 -0.0094331
 0.0064097 -0.0099463
 0.0065546 -0.0101707
 0.0065049 -0.0096858
 0.0062319 -0.0090623
 0.0060628 -0.0083828
 0.0053134 -0.0074388
 0.0045839 -0.0069918
 0.0046622 -0.0072498
 0.0047724 -0.0074767
 0.0050050 -0.0083726
 0.0056376 -0.0097453
 0.0062501 -0.0111030
 0.0067536 -0.0129215
 0.0075845 -0.0141828
 0.0075894 -0.0154812
 0.0072511 -0.0171721
 0.0069653 -0.0193535
 0.0068316 -0.0215204
 0.0063132 -0.0240148
 0.0060411 -0.0267340
 0.0052731 -0.0286728
 0.0043889 -0.0309309
 0.0035071 -0.0331503
 0.0023795 -0.0353458
 0.0012018 -0.0377344
 0.0009192 -0.0401806
 0.0000185 -0.0436314
 0.0001558 -0.0464080
 0.0001093 -0.0497086
 0.0004698 -0.0522640
 0.0001775 -0.0546663
 0.0001965 -0.0571857
-0.0000308 -0.0598977
-0.0003857 -0.0622871
-0.0004377 -0.0650008
-0.0000650 -0.0672113
 0.0002713 -0.0694735
 0.0005500 -0.0710098
 0.0008468 -0.0725085
 0.0007810 -0.0738369
 0.0004015 -0.0750703
 0.0000467 -0.0762905
-0.0002045 -0.0772935
-0.0003151 -0.0787377
-0.0004657 -0.0802401
-0.0009029 -0.0815450
-0.0012073 -0.0827574
-0.0017822 -0.0838306
-0.0028817 -0.0844463
-0.0035967 -0.0849272
-0.0044091 -0.0850225
-0.0049417 -0.0845577
-0.0061038 -0.0839663
-0.0069941 -0.0827885
-0.0082341 -0.0812526
-0.0096593 -0.0796921
-0.0106800 -0.0779596
-0.0115114 -0.0753925
-0.0127400 -0.0724847
-0.0138023 -0.0692679
-0.0146348 -0.0655530
-0.0158711 -0.0612498
-0.0169104 -0.0565227
-0.0180688 -0.0517092
-0.0189353 -0.0464763
-0.0197403 -0.0406078
-0.0203177 -0.0348714
-0.0204929 -0.0285822
-0.0208591 -0.0220064
-0.0210538 -0.0154318
-0.0217717 -0.0082241
-0.0225618 -0.0012062
-0.0238357  0.0060794
-0.0257180  0.0136153
-0.0272934  0.0214973
-0.0292710  0.0296671
-0.0319167  0.0379528
-0.0340590  0.0465853
-0.0361435  0.0552554
-0.0379195  0.0643821
-0.0393314  0.0737656
-0.0403052  0.0835290
-0.0408761  0.0937111
-0.0406843  0.1042857
-0.0407602  0.1151792
-0.0400657  0.1267760
-0.0393333  0.1386021
-0.0381927  0.1519782
-0.0380877  0.1651040
-0.0372753  0.1788228
-0.0368812  0.1929761
-0.0369700  0.2066223
-0.0371985  0.2204570
-0.0368545  0.2347028
-0.0361265  0.2483184
-0.0353405  0.2624152
-0.0339221  0.2769933
-0.0324036  0.2915694
-0.0302338  0.3060316
-0.0278856  0.3211814
-0.0256710  0.3365670
-0.0230579  0.3519687
-0.0196394  0.3675203
-0.0162224  0.3831675
-0.0118878  0.3989689
-0.0073445  0.4146306
-0.0028399  0.4304082
 0.0023394  0.4460707
 0.0070382  0.4619614
 0.0123031  0.4775258
 0.0171033  0.4929141
 0.0221183  0.5076339
 0.0274789  0.5219136
 0.0331023  0.5361949
 0.0393596  0.5495932
 0.0460747  0.5629362
 0.0531181  0.5761117
 0.0605204  0.5890683
 0.0679029  0.6019708
 0.0758240  0.6148297
 0.0836450  0.6273252
 0.0919969  0.6398224
 0.1005013  0.6520716
 0.1092913  0.6644000
 0.1184062  0.6763634
 0.1272336  0.6875210
 0.1362416  0.6981572
 0.1454179  0.7078758
 0.1548329  0.7174385
 0.1643109  0.7261057
 0.1739907  0.7349086
 0.1833350  0.7435743
 0.1925070  0.7523202
 0.2015182  0.7607177
 0.2100441  0.7687515
 0.2181900  0.7763452
 0.2257530  0.7834023
 0.2327624  0.7903342
 0.2404675  0.7963271
 0.2471333  0.8020866
 0.2541492  0.8071714
 0.2618269  0.8110663
 0.2694371  0.8143633
 0.2772193  0.8173547
 0.2854411  0.8199096
 0.2925915  0.8221145
 0.2996796  0.8236879
 0.3061722  0.8244058
 0.3128534  0.8245475
 0.3189285  0.8238051
 0.3257135  0.8219988
 0.3321973  0.8196978
 0.3387219  0.8167303
 0.3453401  0.8131079
 0.3515001  0.8091677
 0.3574795  0.8048323
 0.3629047  0.7998585
 0.3679600  0.7950006
 0.3725731  0.7890756
 0.3769425  0.7830977
 0.3802225  0.7764436
 0.3835090  0.7697729
 0.3863910  0.7618130
 0.3886791  0.7538140
 0.3910596  0.7453983
 0.3935160  0.7359692
 0.3952602  0.7265413
 0.3970088  0.7159455
 0.3980993  0.7053338
 0.3986383  0.6940274
 0.3987958  0.6820882
 0.3985851  0.6696839
 0.3978261  0.6567575
 0.3965648  0.6436818
 0.3951719  0.6305641
 0.3929457  0.6175234
 0.3912880  0.6044469
 0.3888086  0.5908903
 0.3859445  0.5772727
 0.3830945  0.5630200
 0.3795380  0.5485352
 0.3760161  0.5344282
 0.3727034  0.5199025
 0.3688892  0.5059639
 0.3647537  0.4927020
 0.3607748  0.4796120
 0.3559319  0.4661612
 0.3514733  0.4532836
 0.3468380  0.4397436
 0.3416260  0.4257812
 0.3367116  0.4119948
 0.3321028  0.3981189
 0.3272586  0.3838388
 0.3223029  0.3706549
 0.3173267  0.3574108
 0.3121228  0.3445697
 0.3064222  0.3321618
 0.3005542  0.3198701
 0.2943385  0.3077657
 0.2881591  0.2958334
 0.2823048  0.2835550
 0.2764835  0.2715996
 0.2708185  0.2594610
 0.2655548  0.2475117
 0.2597412  0.2361191
 0.2548898  0.2247698
 0.2496028  0.2138598
 0.2441651  0.2037936
 0.2388075  0.1936927
 0.2335814  0.1844691
 0.2276839  0.1755140
 0.2221853  0.1666586
 0.2165902  0.1584351
 0.2103394  0.1503461
 0.2043894  0.1428324
 0.1982496  0.1353364
 0.1918401  0.1284146
 0.1853151  0.1215368
 0.1790570  0.1151689
 0.1724957  0.1087905
 0.1662933  0.1026015
 0.1602039  0.0967791
 0.1538320  0.0905122
 0.1476740  0.0839561
 0.1416695  0.0773416
 0.1361535  0.0705364
 0.1305140  0.0646106
 0.1248987  0.0588370
 0.1193981  0.0543845
 0.1137989  0.0502457
 0.1076813  0.0468345
 0.1017568  0.0438468
 0.0955818  0.0405010
 0.0896799  0.0372674
 0.0839624  0.0341481
 0.0786923  0.0310312
 0.0737267  0.0282934
 0.0695313  0.0260147
 0.0649250  0.0236019
 0.0613066  0.0214605
 0.0572413  0.0193974
 0.0533920  0.0170109
 0.0496796  0.0146417
 0.0462191  0.0122128
 0.0425079  0.0096486
 0.0390899  0.0072722
 0.0358369  0.0046817
 0.0322586  0.0024700
 0.0288683  0.0001419
 0.0260667 -0.0020092
 0.0238231 -0.0035895
 0.0210586 -0.0047212
 0.0184237 -0.0060811
 0.0160449 -0.0071707
 0.0133575 -0.0082015
 0.0112200 -0.0090396
 0.0087810 -0.0107410
 0.0069132 -0.0121016
 0.0052800 -0.0135535
 0.0039445 -0.0155262
 0.0025463 -0.0169490
 0.0018216 -0.0182914
 0.0010218 -0.0198281
 0.0007913 -0.0202904
 0.0003088 -0.0204434
-0.0001487 -0.0208302
-0.0008791 -0.0210269
-0.0016272 -0.0212986
-0.0024545 -0.0216697
-0.0028990 -0.0217497
-0.0031151 -0.0214659
-0.0035641 -0.0210666
-0.0028402 -0.0199942
-0.0024978 -0.0188662
-0.0020569 -0.0176441
-0.0009252 -0.0165870
-0.0000975 -0.0153011
 0.0012272 -0.0147863
 0.0025709 -0.0143240
 0.0036606 -0.0136773
 0.0041983 -0.0134528
 0.0045375 -0.0134011
 0.0044987 -0.0135598
 0.0041914 -0.0139862
 0.0040388 -0.0145858
 0.0037352 -0.0145483
 0.0035512 -0.0148559
 0.0034668 -0.0145111
 0.0033058 -0.0139552
 0.0027410 -0.0132442
 0.0023264 -0.0127665
 0.0016590 -0.0123087
 0.0016029 -0.0118686
 0.0018290 -0.0111827
 0.0022807 -0.0103619
 0.0026401 -0.0090772
 0.0028609 -0.0074695
 0.0027716 -0.0058456
 0.0024307 -0.0038148
 0.0023390 -0.0020359
 0.0023062 -0.0002538
 0.0026946  0.0011287
 0.0028778  0.0022999
 0.0030074  0.0036824
 0.0028940  0.0042016
 0.0023206  0.0047923
 0.0012681  0.0054213
 0.0002357  0.0060527
-0.0010861  0.0068958
-0.0023499  0.0071057
-0.0035450  0.0076831
-0.0050684  0.0075103
-0.0061666  0.0074150
-0.0068449  0.0073972
-0.0072083  0.0070129
-0.0080897  0.0064779
-0.0085087  0.0056002
-0.0091514  0.0046441
-0.0097203  0.0043942
-0.0105148  0.0037850
-0.0116961  0.0031527
-0.0126530  0.0028854
-0.0138759  0.0023129
-0.0145417  0.0015139
-0.0150601  0.0015612
-0.0156350  0.0012254
-0.0159188  0.0014834
-0.0159770  0.0014334
-0.0155212  0.0016115
-0.0153060  0.0015198
-0.0146963  0.0011569
-0.0134467  0.0010596
-0.0119641  0.0008480
-0.0102187  0.0006893
-0.0084313  0.0002609
-0.0064719  0.0000061
-0.0045727 -0.0005976
-0.0030711 -0.0016990
-0.0019180 -0.0024730
-0.0013968 -0.0032822
-0.0011497 -0.0040352
-0.0012639 -0.0045346
-0.0011166 -0.0050478
-0.0012894 -0.0058524
-0.0012935 -0.0062811
-0.0011033 -0.0069828
-0.0010415 -0.0078193
-0.0006353 -0.0084059
 0.0003656 -0.0088234
 0.0009813 -0.0091492
 0.0015151 -0.0088270
 0.0018384 -0.0086567
 0.0020476 -0.0078726
 0.0015433 -0.0076392
 0.0015953 -0.0074281
 0.0019587 -0.0076392
 0.0025905 -0.0075811
 0.0034372 -0.0077176
 0.0049578 -0.0079711
 0.0062845 -0.0081613
 0.0077065 -0.0078577
 0.0084587 -0.0077285
 0.0092052 -0.0073131
 0.0099130 -0.0068601
 0.0099521 -0.0061899
 0.0097531 -0.0050009
 0.0094252 -0.0035987
 0.0088894 -0.0026567
 0.0087332 -0.0017410
 0.0083145 -0.0010555
 0.0084098 -0.0004228
 0.0084074  0.0005130
 0.0083258  0.0016201
 0.0085753  0.0023146
 0.0088611  0.0031971
 0.0088587  0.0040987
 0.0088805  0.0046414
 0.0092269  0.0052946
 0.0085406  0.0054105
 0.0083682  0.0054113
 0.0082115  0.0055119
 0.0075970  0.0050702
 0.0070346  0.0048615
 0.0064342  0.0049208
 0.0057764  0.0047698
 0.0046588  0.0048547
 0.0038460  0.0050723
 0.0028484  0.0054373
 0.0017546  0.0062844
 0.0001267  0.0064221
-0.0015714  0.0067079
-0.0026199  0.0063776
-0.0040664  0.0062383
-0.0055163  0.0062532
-0.0065850  0.0059617
-0.0076379  0.0060182
-0.0086319  0.0057138
-0.0098646  0.0055705
-0.0108873  0.0050025
-0.0120764  0.0045673
-0.0132703  0.0034869
-0.0142445  0.0021897
-0.0157541  0.0011651
-0.0171881 -0.0001342
-0.0183081 -0.0010309
-0.0191236 -0.0018557
-0.0194244 -0.0028364
-0.0193977 -0.0038612
-0.0181126 -0.0045028
-0.0166962 -0.0052627
-0.0151644 -0.0056580
-0.0135022 -0.0055184
-0.0125280 -0.0055443
-0.0122599 -0.0057829
-0.0120310 -0.0057821
-0.0117819 -0.0063946
-0.0119147 -0.0070030
-0.0111690 -0.0076473
-0.0103260 -0.0085642
-0.0089702 -0.0098881
-0.0075551 -0.0110219
-0.0062402 -0.0120862
-0.0051533 -0.0130524
-0.0037588 -0.0135975
-0.0021680 -0.0145031
-0.0009414 -0.0145282
 0.0006905 -0.0142633
 0.0021525 -0.0134413
 0.0030771 -0.0127525
 0.0042096 -0.0117573
 0.0048617 -0.0109732
 0.0052093 -0.0103402
 0.0052085 -0.0093805
 0.0050942 -0.0084571
 0.0045915 -0.0074392
 0.0041446 -0.0068558
 0.0037141 -0.0061266
 0.0036822 -0.0053546
 0.0035525 -0.0046658
 0.0033469 -0.0035147
 0.0032048 -0.0024004
 0.0033331 -0.0014855
 0.0030614 -0.0008553
 0.0028050 -0.0005113
 0.0032983 -0.0003005
 0.0031804 -0.0006466
 0.0035752 -0.0004544
 0.0043355 -0.0000890
 0.0048712  0.0009483
 0.0051369  0.0019273
 0.0054998  0.0031770
 0.0053509  0.0044015
 0.0048567  0.0052498
 0.0043605  0.0055054
 0.0038486  0.0054731
 0.0036241  0.0043463
 0.0032883  0.0032405
 0.0029508  0.0019420
 0.0029415  0.0012412
 0.0022637  0.0008209
 0.0013484  0.0008076
 0.0005321  0.0013256
-0.0007069  0.0016861
-0.0011450  0.0026059
-0.0017765  0.0034315
-0.0021612  0.0038139
-0.0023700  0.0042370
-0.0023728  0.0044639
-0.0027927  0.0044994
-0.0029453  0.0044397
-0.0034827  0.0046415
-0.0044516  0.0040403
-0.0050052  0.0036498
-0.0059382  0.0029343
-0.0065317  0.0022936
-0.0072390  0.0018115
-0.0073977  0.0012894
-0.0074579  0.0007694
-0.0076109  0.0008509
-0.0074430  0.0006228
-0.0073873  0.0008150
-0.0075072  0.0006471
-0.0076207  0.0001073
-0.0071600 -0.0003534
-0.0064341 -0.0010055
-0.0053399 -0.0020863
-0.0045163 -0.0029285
-0.0035776 -0.0038672
-0.0024438 -0.0044349
-0.0017679 -0.0053707
-0.0011910 -0.0056868
-0.0007799 -0.0063150
-0.0001638 -0.0065217
 0.0005287 -0.0067700
 0.0007572 -0.0075214
 0.0013833 -0.0083059
 0.0017790 -0.0092503
 0.0021012 -0.0102681
 0.0025759 -0.0108923
 0.0026110 -0.0117745
 0.0027075 -0.0129425
 0.0031295 -0.0132877
 0.0033628 -0.0141521
 0.0036160 -0.0145587
 0.0040008 -0.0147178
 0.0048285 -0.0143803
 0.0055601 -0.0137598
 0.0072272 -0.0128119
 0.0084674 -0.0116024
 0.0093084 -0.0101021
 0.0102753 -0.0087129
 0.0102111 -0.0074189
 0.0094965 -0.0068287
 0.0086304 -0.0056945
 0.0075346 -0.0053840
 0.0065802 -0.0053957
 0.0065092 -0.0047206
 0.0061062 -0.0037799
 0.0063368 -0.0023752
 0.0070833 -0.0007400
 0.0075209  0.0005681
 0.0077127  0.0018610
 0.0083425  0.0027909
 0.0082884  0.0031001
 0.0084431  0.0037954
 0.0081766  0.0042000
 0.0074721  0.0042541
 0.0072279  0.0046772
 0.0066747  0.0048137
 0.0062944  0.0048133
 0.0058507  0.0051036
 0.0054958  0.0053559
 0.0043802  0.0057585
 0.0035621  0.0060484
 0.0021510  0.0065099
 0.0012841  0.0070085
 0.0000515  0.0074716
-0.0011206  0.0081987
-0.0023072  0.0085036
-0.0032278  0.0087264
-0.0042464  0.0087421
-0.0050338  0.0083186
-0.0059519  0.0083222
-0.0068546  0.0078265
-0.0078684  0.0070828
-0.0087506  0.0066714
-0.0091899  0.0054485
-0.0095657  0.0040544
-0.0098330  0.0023926
-0.0097163  0.0008571
-0.0096549 -0.0005015
-0.0097878 -0.0019069
-0.0099375 -0.0026769
-0.0106267 -0.0039649
-0.0113531 -0.0044062
-0.0124460 -0.0052496
-0.0127500 -0.0058023
-0.0133427 -0.0057986
-0.0133213 -0.0057583
-0.0132446 -0.0055483
-0.0129220 -0.0049003
-0.0123055 -0.0045604
-0.0119256 -0.0040505
-0.0113619 -0.0041503
-0.0111430 -0.0045564
-0.0110986 -0.0053030
-0.0102607 -0.0060305
-0.0096147 -0.0066264
-0.0087442 -0.0070859
-0.0073024 -0.0074509
-0.0063624 -0.0072983
-0.0053854 -0.0070265
-0.0042169 -0.0067112
-0.0034615 -0.0060151
-0.0026499 -0.0056246
-0.0016070 -0.0052560
-0.0005625 -0.0043334
 0.0004598 -0.0040827
 0.0014595 -0.0033980
 0.0027406 -0.0030536
 0.0037318 -0.0030007
 0.0050116 -0.0030060
 0.0054481 -0.0036758
 0.0058461 -0.0041914
 0.0060008 -0.0051729
 0.0061485 -0.0056356
 0.0065235 -0.0057305
 0.0061105 -0.0059671
 0.0068262 -0.0056400
 0.0074039 -0.0051983
 0.0074725 -0.0045495
 0.0079057 -0.0041841
 0.0084015 -0.0034340
 0.0089793 -0.0028017
 0.0093095 -0.0023616
 0.0097727 -0.0016579
 0.0100101 -0.0009748
 0.0103767 -0.0002925
 0.0105483  0.0006966
 0.0102431  0.0017778
 0.0101825  0.0037360
 0.0099644  0.0055024
 0.0091775  0.0071921
 0.0090039  0.0088556
 0.0085037  0.0095912
 0.0076457  0.0102340
 0.0075476  0.0108191
 0.0072222  0.0107481
 0.0067648  0.0098930
 0.0065512  0.0093803
 0.0062278  0.0085829
 0.0056408  0.0077456
 0.0053775  0.0070249
 0.0046218  0.0060499
 0.0040978  0.0058036
 0.0037425  0.0054827
 0.0029698  0.0051928
 0.0021160  0.0052327
 0.0011640  0.0052533
 0.0003032  0.0054435
-0.0011741  0.0052182
-0.0020022  0.0052053
-0.0034057  0.0045715
-0.0038870  0.0039465
-0.0046541  0.0030288
-0.0054563  0.0024159
-0.0056073  0.0020517
-0.0055491  0.0019338
-0.0062020  0.0020291
-0.0062840  0.0021430
-0.0070362  0.0023311
-0.0072841  0.0027283
-0.0078380  0.0029318
-0.0083903  0.0030985
-0.0088376  0.0033766
-0.0088424  0.0031004
