        FREQ         D1         D0     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
       55.74     9E-006       0.25 0.21718293075654        250      26.27 1.5478515625
       55.76     9E-006       0.25 0.647604816291541     249.97      26.42 1.5283203125
       55.78     9E-006       0.25 1.29132683701687     249.95      26.45 1.591796875
        55.8     9E-006       0.25 0.157515443906304     250.07      26.18 1.6455078125
       55.82     9E-006       0.25 0.193032294969003        250       26.4 1.58203125
       55.84     9E-006       0.25 0.826750617311532     249.87       26.9 1.611328125
       55.86     9E-006       0.25 0.652333108784155     249.97      26.55 1.552734375
       55.88     9E-006       0.25 2.46334447448992     249.88      26.88   1.640625
        55.9     9E-006       0.25 3.77472356603765     249.94      26.71 1.572265625
       55.92     9E-006       0.25 3.43260862901671     249.97      26.64 1.5087890625
       55.94     9E-006       0.25 6.22676754022502     249.96      26.68 1.533203125
       55.96     9E-006       0.25 8.60992973258203     250.04      26.42 1.630859375
       55.98     9E-006       0.25 13.1034057404936     250.03      26.43 1.591796875
          56     9E-006       0.25 13.7412945532799     249.95      26.78 1.54296875
       56.02     9E-006       0.25 17.5789053697891     249.98      26.62 1.5966796875
       56.04     9E-006       0.25 20.3424801339463     249.98      26.67 1.591796875
       56.06     9E-006       0.25 20.190878138407     250.02      26.55 1.5966796875
       56.08     9E-006       0.25 21.6249376877715     250.02      26.52 1.5478515625
        56.1     9E-006       0.25 23.3588292728895     249.93      26.78  1.6796875
       56.12     9E-006       0.25 31.4566278230836     249.99      26.65 1.50390625
       56.14     9E-006       0.25 48.5748342457285     250.01          0 1.611328125
       56.16     9E-006       0.25 60.4228626349331     249.98       26.6 1.54296875
       56.18     9E-006       0.25 58.9000566468318        250      26.55 1.6162109375
        56.2     9E-006       0.25 57.8418888522842        250      26.35 1.5771484375
       56.22     9E-006       0.25 56.18760262727      250.4      17.82 1.513671875
       56.24     9E-006       0.25 57.9530719548153     250.47      16.93 1.552734375
       56.26     9E-006       0.25 58.4434627653085     250.48      16.12 1.630859375
       56.28     9E-006       0.25 50.6463303409043     250.53      14.91 1.5185546875
        56.3     9E-006       0.25 37.31375495712     250.55      13.99 1.5966796875
       56.32     9E-006       0.25 22.9944099728608     250.61      12.65 1.611328125
       56.34     9E-006       0.25 16.7248325851113     250.57      11.01 1.650390625
       56.36     9E-006       0.25 13.8366091944522      250.5      10.27 1.6748046875
       56.38     9E-006       0.25 9.84976265642904     250.47       9.44 1.591796875
        56.4     9E-006       0.25 9.54626057176783      250.4        8.8 1.6259765625
       56.42     9E-006       0.25 7.87274437537508     250.35       8.21 1.5087890625
       56.44     9E-006       0.25 8.68138441873898     250.32        7.5 1.552734375
       56.46     9E-006       0.25 9.57065186851058     250.36       6.81 1.6064453125
       56.48     9E-006       0.25 10.0320508198785     250.31        6.4 1.6650390625
        56.5     9E-006       0.25 10.740791027881     250.27       6.03 1.5185546875
       56.52     9E-006       0.25 12.6877190753989     250.21       5.79 1.5771484375
       56.54     9E-006       0.25 10.4170875488305     250.27       5.16     1.5625
       56.56     9E-006       0.25 7.12292680292315     250.23        4.9 1.5966796875
       56.58     9E-006       0.25 4.59474145083268     250.22       3.95 1.572265625
        56.6     9E-006       0.25 1.12881397936064      250.2        3.6 1.58203125
       56.62     9E-006       0.25 0.130453089012871     250.28       2.92  1.6015625
       56.64     9E-006       0.25 0.475883100052944     250.26       2.43 1.5185546875
       56.66     9E-006       0.25 0.998545376485215     250.27       1.71     1.5625
       56.68     9E-006       0.25 0.434849762308777     250.28        1.2  1.6015625
        56.7     9E-006       0.25 2.00784959596081     250.34       0.39 1.46484375
       56.72     9E-006       0.25 1.05868786712609      250.3          0 1.6064453125
       56.74     9E-006       0.25 0.82085077815642     250.35          0 1.5576171875
       56.76     9E-006       0.25 1.02807015329694     250.51          0 1.62109375
       56.78     9E-006       0.25 0.261159487602882     250.48          0 1.572265625
        56.8     9E-006       0.25 0.470571073526625     250.51          0   1.484375
       56.82     9E-006       0.25 0.486926890481518     250.65          0 1.552734375
