        FREQ         D1         D0     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
       55.74     5E-006       0.05 0.142923230665977     154.97      21.05 1.6943359375
       55.76     5E-006       0.05 0.277072292418423     155.05      20.73 1.6259765625
       55.78     5E-006       0.05 0.307450537194196     154.92      21.19 1.5673828125
        55.8     5E-006       0.05 0.495961846824935        155      20.99  1.6796875
       55.82     5E-006       0.05 0.925112875110924     155.03      20.81   1.640625
       55.84     5E-006       0.05 1.77543797413483     155.01      20.89 1.7626953125
       55.86     5E-006       0.05 3.16006408162873     155.01      20.91 1.6748046875
       55.88     5E-006       0.05 3.89518998252974     154.95      21.07 1.6064453125
        55.9     5E-006       0.05 5.23313070732998     155.01      20.95 1.5673828125
       55.92     5E-006       0.05 6.18548696547006     155.01      20.92 1.4892578125
       55.94     5E-006       0.05 7.12934737546152     154.94      21.22 1.591796875
       55.96     5E-006       0.05 9.27885752665704     154.97      21.13 1.513671875
       55.98     5E-006       0.05 12.2282242782834     155.09      20.74  1.6015625
          56     5E-006       0.05 15.4298374910431     154.96      21.12 1.5380859375
       56.02     5E-006       0.05 18.8291581596204        155      20.96 1.6943359375
       56.04     5E-006       0.05 22.6062137033162     155.02      20.95 1.513671875
       56.06     5E-006       0.05 29.2330615912874     154.97      21.07 1.6943359375
       56.08     5E-006       0.05 35.0878475258885     155.04      20.81 1.611328125
        56.1     5E-006       0.05 48.0869358142105     154.93      21.24 1.591796875
       56.12     5E-006       0.05 59.4648142013409     154.97      21.06 1.533203125
       56.14     5E-006       0.05 66.4142265030618     154.98      21.07     1.5625
       56.16     5E-006       0.05 65.9967104104439     155.09      20.63 1.58203125
       56.18     5E-006       0.05 63.8350683323829        155      20.93 1.728515625
        56.2     5E-006       0.05 64.5013521176107     154.98      21.05 1.50390625
       56.22     5E-006       0.05 62.4788674033069      154.9      21.32 1.4892578125
       56.24     5E-006       0.05 64.0687707077325     155.01      20.86 1.4892578125
       56.26     5E-006       0.05 63.7383817569916     155.03      20.89 1.572265625
       56.28     5E-006       0.05 61.4942116300388     154.98      21.07 1.6162109375
        56.3     5E-006       0.05 55.3568677040166     155.02      20.87 1.533203125
       56.32     5E-006       0.05 50.282307832875     155.04      20.85 1.5185546875
       56.34     5E-006       0.05 38.6956304639167     154.98      21.04 1.46484375
       56.36     5E-006       0.05 27.0992383656811     155.02      20.86 1.533203125
       56.38     5E-006       0.05 18.1581257292706     154.99      21.01 1.54296875
        56.4     5E-006       0.05 12.7024149278789     154.92      21.26 1.630859375
       56.42     5E-006       0.05 10.0751132003566     154.96       21.1 1.5478515625
       56.44     5E-006       0.05 10.4196300318197     155.02      20.89 1.611328125
       56.46     5E-006       0.05 10.0274766516806        155      20.95 1.572265625
       56.48     5E-006       0.05 11.9665460581249     154.95      21.14 1.6455078125
        56.5     5E-006       0.05 11.8112837998246      155.1      20.61 1.5185546875
       56.52     5E-006       0.05 12.754120902673     155.01      20.92 1.494140625
       56.54     5E-006       0.05 13.0718807147497     155.01      20.93 1.5478515625
       56.56     5E-006       0.05 12.4827221639513     154.97      21.09 1.50390625
       56.58     5E-006       0.05 11.6600703269416     155.01      20.94 1.6064453125
        56.6     5E-006       0.05 8.58576402151585     155.04      20.82 1.513671875
       56.62     5E-006       0.05 5.81903342461005     155.03      20.84 1.5087890625
       56.64     5E-006       0.05 2.8990572912559     154.95      21.17 1.5087890625
       56.66     5E-006       0.05 1.06790328521079     154.97      21.05 1.5771484375
       56.68     5E-006       0.05 0.631006787779656     155.02      20.91   1.484375
        56.7     5E-006       0.05 0.296922822160911     155.03      20.94 1.4501953125
       56.72     5E-006       0.05 0.230601283543696     154.99      21.04 1.4306640625
       56.74     5E-006       0.05 0.250934566636404        155      20.97 1.54296875
       56.76     5E-006       0.05 0.796282540057234        155      20.99 1.6259765625
       56.78     5E-006       0.05 0.962872658405046        155         21 1.6162109375
