[PARAMETERS]
DW=1E-007
TAU=0.0001
TD=4096
BS=4096
NS=128
NSC=128
FR=56.147000
GAIN=4.974204
D0=0.05
D1=5.5E-006
D2=1.05E-005
D3=2.5E-005
D4=1E-005
D5=0.0131506191259525
D6=0.001
D7=0.001
D8=0.001
D9=0.05
C0=1
SEGTD=0
SEGOFF=0
SEGNUM=0
[ADDITIONAL]
PPFILE=ZG_three_T1.PC
DATEWR=20.09.2024
TIMEWR=11:11:14
DATESTA=20.09.2024
TIMESTA=11:11:05
DATEEND=20.09.2024
TIMEEND=11:11:14
CURR_Z0=0
CURR_Z1=1
TE=-1
[VARIABLES]
_USER=Measurements
_EMAIL_F=7NMR.NMR-270-ijs.si
_ITC_H=1
_ITC_R0=105.00
_ITC_R1=104.92
_ITC_R2=105.16
_ITC_R3=  0.00
_ITC_R4= -0.08
_ITC_V= 23.32
_ITC_X=X0A1C1S00H1
_FW=100
_ORIENT=?
_THETA=0
_TITLE=?
_DESCR1=?
_DESCR2=?
_FR_LARM=56.14700000
_FR_SYNT=526.14700000
_TRIMLEV=1.7529296875
_DATE=20.09.2024
_TIME=11:08:02
_ITC_DIR=M35
[PPFILE]
; three pulses for T_1 experiment

DELAY 1m
PULSE [GT] 3u
PULSE [PHL3,GT] D2
DELAY D5-3u
PULSE [GT] 3u
PULSE [PHL1,GT] D1
DELAY TAU-3u
PULSE [GT] 3u
PULSE [PHL2,GT] 2*D1
DELAY TAU-D3
PULSE [TR] 1u+DW
DELAY D9
STOP

PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y] [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
PHL 2 [+Y] [-Y] [-Y] [+Y] [-X] [+X] [+X] [-X] [+X] [-X] [-X] [+X] [-Y] [+Y] [+Y] [-Y]
PHL 3 [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [+X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X] [-X]
!RLS +X-X+X-X+Y-Y+Y-Y-X+X-X+X-Y+Y-Y+Y

;PHL 1 [+X] [-X] [+X] [-X]
;PHL 2 [+Y] [-Y] [-Y] [+Y]
;PHL 3 [+X] [-X] [+X] [-X]
;!RLS +X-X+X-X

;PHL 1 [+X] [-X] [+X] [-X] [+Y] [-Y] [+Y] [-Y]
;PHL 2 [+Y] [-Y] [-Y] [+Y] [-Y] [+Y] [+Y] [-Y]
;PHL 3 [+X] [-X] [-X] [+X] [+X] [-X] [-X] [+X]
;!RLS +X-X+X-X-Y+Y-Y+Y
[DATA]
-0.0000629  0.0015759
-0.0006354  0.0019393
-0.0012459  0.0022849
-0.0017433  0.0026458
-0.0023570  0.0026789
-0.0031410  0.0026583
-0.0034075  0.0029050
-0.0041173  0.0023817
-0.0039239  0.0021661
-0.0040220  0.0016642
-0.0040612  0.0012811
-0.0037765  0.0010893
-0.0034140  0.0009916
-0.0031859  0.0006682
-0.0028617  0.0005556
-0.0024232  0.0005943
-0.0021588  0.0005935
-0.0020119  0.0005333
-0.0021290  0.0005842
-0.0026902  0.0004275
-0.0027330  0.0002321
-0.0032135 -0.0000744
-0.0035421 -0.0005746
-0.0038304 -0.0011096
-0.0036758 -0.0016243
-0.0034460 -0.0018755
-0.0029478 -0.0019926
-0.0027375 -0.0019724
-0.0021254 -0.0015694
-0.0018755 -0.0007409
-0.0018194 -0.0001838
-0.0014915  0.0004756
-0.0015856  0.0007700
-0.0016780  0.0008673
-0.0012331  0.0010429
-0.0009077  0.0009831
-0.0010191  0.0005753
-0.0005419  0.0005741
-0.0001212  0.0002644
-0.0002172  0.0000117
 0.0002430 -0.0000630
 0.0005123 -0.0006000
 0.0004175 -0.0006932
 0.0004183 -0.0009440
 0.0007841 -0.0012290
 0.0006113 -0.0010001
 0.0007441 -0.0007857
 0.0006710 -0.0003024
 0.0007147  0.0001785
 0.0008164  0.0003578
 0.0013175  0.0009792
 0.0010365  0.0014964
 0.0011161  0.0018226
 0.0009408  0.0020532
 0.0009853  0.0021105
 0.0007099  0.0020883
 0.0007087  0.0016046
 0.0009146  0.0019655
 0.0013332  0.0016925
 0.0014269  0.0020712
 0.0016340  0.0024919
 0.0016768  0.0029691
 0.0017713  0.0030406
 0.0015819  0.0033264
 0.0015218  0.0035323
 0.0010239  0.0035154
 0.0007514  0.0034313
 0.0003097  0.0031035
 0.0002318  0.0031761
 0.0001716  0.0034789
 0.0004421  0.0035726
 0.0006912  0.0037632
 0.0008681  0.0041847
 0.0010574  0.0039703
 0.0006194  0.0043138
 0.0008075  0.0043312
 0.0004958  0.0043877
 0.0000722  0.0044285
-0.0002540  0.0049259
-0.0002511  0.0048686
-0.0005584  0.0046319
-0.0003674  0.0047434
-0.0004401  0.0043190
-0.0001893  0.0042330
 0.0000028  0.0036387
-0.0000928  0.0035030
-0.0002434  0.0032345
 0.0002532  0.0032196
 0.0005608  0.0029556
 0.0010603  0.0029786
 0.0012319  0.0029374
 0.0012371  0.0029229
 0.0014491  0.0027158
 0.0016219  0.0024638
 0.0018537  0.0020435
 0.0018706  0.0017132
 0.0020026  0.0015065
 0.0019828  0.0009110
 0.0017713  0.0005287
 0.0021528  0.0003793
 0.0024629 -0.0000208
 0.0028085 -0.0002283
 0.0032325 -0.0004944
 0.0037368 -0.0003958
 0.0043153 -0.0005448
 0.0045612 -0.0003147
 0.0044853 -0.0002504
 0.0042301  0.0003286
 0.0039947  0.0006758
 0.0038813  0.0010214
 0.0037105  0.0015806
 0.0039229  0.0021382
 0.0036172  0.0027329
 0.0040944  0.0032336
 0.0045551  0.0035247
 0.0051078  0.0038195
 0.0057425  0.0042224
 0.0061269  0.0042063
 0.0059162  0.0043621
 0.0063203  0.0047647
 0.0062638  0.0049968
 0.0065900  0.0052072
 0.0067087  0.0056864
 0.0067879  0.0058390
 0.0068666  0.0062440
 0.0066397  0.0063603
 0.0067423  0.0067810
 0.0062841  0.0068969
 0.0060947  0.0074892
 0.0061945  0.0075255
 0.0065562  0.0079046
 0.0068009  0.0084371
 0.0071577  0.0082263
 0.0074791  0.0081670
 0.0075469  0.0077471
 0.0077928  0.0076324
 0.0077895  0.0075606
 0.0077104  0.0072957
 0.0074608  0.0075610
 0.0074402  0.0078699
 0.0071713  0.0081218
 0.0070200  0.0083140
 0.0071673  0.0086023
 0.0072436  0.0085486
 0.0074487  0.0083374
 0.0076364  0.0082022
 0.0081734  0.0077839
 0.0082864  0.0073237
 0.0085149  0.0072849
 0.0089248  0.0067503
 0.0089603  0.0069256
 0.0092518  0.0065981
 0.0091924  0.0066389
 0.0091145  0.0067375
 0.0087087  0.0063519
 0.0087063  0.0061605
 0.0082622  0.0055597
 0.0082593  0.0050743
 0.0083368  0.0043774
 0.0083393  0.0041017
 0.0093406  0.0034819
 0.0095171  0.0032077
 0.0099592  0.0026679
 0.0108854  0.0019012
 0.0113085  0.0019605
 0.0118698  0.0013444
 0.0126434  0.0001566
 0.0131440 -0.0003610
 0.0135865 -0.0010284
 0.0138183 -0.0016595
 0.0140517 -0.0021185
 0.0142063 -0.0024419
 0.0139782 -0.0031666
 0.0146505 -0.0038590
 0.0149424 -0.0042608
 0.0152452 -0.0048373
 0.0162957 -0.0049697
 0.0163139 -0.0050121
 0.0167127 -0.0050142
 0.0171536 -0.0052051
 0.0171718 -0.0053041
 0.0168270 -0.0055165
 0.0167075 -0.0054555
 0.0166514 -0.0058721
 0.0162678 -0.0057889
 0.0159965 -0.0055390
 0.0156719 -0.0052148
 0.0155810 -0.0051434
 0.0155439 -0.0044901
 0.0153170 -0.0041263
 0.0154147 -0.0038005
 0.0157781 -0.0036656
 0.0159711 -0.0031666
 0.0166962 -0.0028408
 0.0173442 -0.0024762
 0.0184153 -0.0016562
 0.0189874 -0.0007781
 0.0197533 -0.0000162
 0.0203827  0.0008607
 0.0205737  0.0018167
 0.0210372  0.0027126
 0.0214030  0.0032278
 0.0217705  0.0038225
 0.0220212  0.0046417
 0.0223490  0.0049869
 0.0230395  0.0060007
 0.0239624  0.0063475
 0.0248636  0.0065591
 0.0258814  0.0074190
 0.0272170  0.0078777
 0.0288271  0.0087962
 0.0302208  0.0092161
 0.0324628  0.0104269
 0.0346818  0.0110637
 0.0367881  0.0124857
 0.0389147  0.0132342
 0.0413428  0.0142178
 0.0435068  0.0147164
 0.0459075  0.0151436
 0.0487867  0.0156657
 0.0510711  0.0161881
 0.0533934  0.0171087
 0.0561397  0.0177426
 0.0590181  0.0183377
 0.0618774  0.0187596
 0.0643887  0.0193931
 0.0674350  0.0200649
 0.0705632  0.0201239
 0.0738441  0.0205301
 0.0773179  0.0209710
 0.0805390  0.0210679
 0.0842232  0.0212007
 0.0872170  0.0214127
 0.0906674  0.0212968
 0.0944493  0.0212835
 0.0977722  0.0211474
 0.1012671  0.0216324
 0.1043989  0.0216130
 0.1079919  0.0218084
 0.1117948  0.0220394
 0.1152687  0.0223264
 0.1190668  0.0224556
 0.1228244  0.0226635
 0.1268332  0.0227131
