        FREQ         D1         D9     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
       55.89     5E-006       0.05 11.4451948432519      70.06       4.98 1.85546875
       55.91     5E-006       0.05 13.2715913514544      70.06       4.98 1.6455078125
       55.93     5E-006       0.05 15.5560573411131      70.06       4.98 1.826171875
       55.95     5E-006       0.05 17.8953337493325      70.06       4.98 1.6064453125
       55.97     5E-006       0.05 22.3274186819704      70.06       4.98 1.7724609375
       55.99     5E-006       0.05 28.7368185434644      70.06       4.98 1.8212890625
       56.01     5E-006       0.05 34.9130505255556      70.06       4.98 1.826171875
       56.03     5E-006       0.05 42.5272398822214      70.06       4.98 1.728515625
       56.05     5E-006       0.05 49.7564727447596      70.06       4.98 1.7724609375
       56.07     5E-006       0.05 56.697134530768      70.06       4.98    1.71875
       56.09     5E-006       0.05 61.6352309154432      70.06       4.98 1.6552734375
       56.11     5E-006       0.05 65.2089171969601      70.06       4.98 1.787109375
       56.13     5E-006       0.05 67.1557408119365      70.06       4.98 1.533203125
       56.15     5E-006       0.05 66.9522748829343      70.06       4.98 1.650390625
       56.17     5E-006       0.05 66.597429867826      70.06       4.98 1.8505859375
       56.19     5E-006       0.05 67.3164648878712      70.06       4.98 1.85546875
       56.21     5E-006       0.05 67.6710715889737      70.06       4.98 1.845703125
       56.23     5E-006       0.05 67.6077170891016      70.06       4.98 1.5673828125
       56.25     5E-006       0.05 65.0714634843877      70.06       4.98 1.73828125
       56.27     5E-006       0.05 63.7240750266334      70.06       4.98 1.6845703125
       56.29     5E-006       0.05 58.9527324642378      70.06       4.98 1.689453125
       56.31     5E-006       0.05 51.979677605772      70.06       4.98 1.5869140625
       56.33     5E-006       0.05 45.5677413309021      70.06       4.98 1.54296875
       56.35     5E-006       0.05 39.988957800873      70.06       4.98 1.6552734375
       56.37     5E-006       0.05 34.1494976390576      70.06       4.98 1.6845703125
       56.39     5E-006       0.05 30.6537871069791      70.06       4.98 1.6943359375
