        FREQ         D1         D0     INTABS    _ITC_R1     _ITC_V   _TRIMLEV
       55.74     5E-006       0.25 0.0393338145111811     199.96      23.07 1.77734375
       55.76     5E-006       0.25 2.32947204318919     200.02      22.82 1.5478515625
       55.78     5E-006       0.25 0.99843829442585     199.99      22.95  1.6796875
        55.8     5E-006       0.25 1.2025365585133        200      22.95 1.58203125
       55.82     5E-006       0.25 0.540078341355215     200.01      22.91 1.611328125
       55.84     5E-006       0.25 0.670990122732071     200.02      22.85 1.533203125
       55.86     5E-006       0.25 0.591487975279295     200.04      22.79 1.5380859375
       55.88     5E-006       0.25 1.40505444734359     200.01      22.93 1.8994140625
        55.9     5E-006       0.25 3.28970773777854     200.04      22.81 1.5283203125
       55.92     5E-006       0.25 3.52892788251616     200.04      22.79     1.5625
       55.94     5E-006       0.25 4.08630309693248     200.01      22.91 1.7529296875
       55.96     5E-006       0.25 8.17450304299901     199.94      23.16 1.513671875
       55.98     5E-006       0.25 9.92349021262177        200      22.95 1.650390625
          56     5E-006       0.25 10.8542732598733     199.99      22.96 1.533203125
       56.02     5E-006       0.25 15.5782104235371     199.98      23.05 1.5283203125
       56.04     5E-006       0.25 16.9838558637313     200.02          0 1.4794921875
       56.06     5E-006       0.25 19.9796634606292     199.95      23.12 1.552734375
       56.08     5E-006       0.25 20.1647830883449        200      22.98 1.5966796875
        56.1     5E-006       0.25 28.9369131905945     200.04      22.86 1.533203125
       56.12     5E-006       0.25 37.5101079710523     199.97      23.05 1.513671875
       56.14     5E-006       0.25 49.2495271043286     199.99          0 1.630859375
       56.16     5E-006       0.25 53.2480181790834     199.98      23.02 1.6650390625
       56.18     5E-006       0.25 52.0142225261514     199.97      23.08 1.6455078125
        56.2     5E-006       0.25 51.5775331806398     199.98      23.01 1.591796875
       56.22     5E-006       0.25 47.7382136657835        200      22.96 1.4794921875
       56.24     5E-006       0.25 47.867397725383     199.96      23.09  1.7578125
       56.26     5E-006       0.25 47.6507712424469     199.95      23.15 1.4990234375
       56.28     5E-006       0.25 46.4572795157013     199.97      23.05 1.630859375
        56.3     5E-006       0.25 41.2799624151961     200.01      22.91 1.4990234375
       56.32     5E-006       0.25 32.9374340530649     200.02      22.86 1.533203125
       56.34     5E-006       0.25 20.2398462938828     199.99      22.99 1.69921875
       56.36     5E-006       0.25 13.4898543357592        200      22.98    1.71875
       56.38     5E-006       0.25 9.11747914722046     200.01      22.95 1.4306640625
        56.4     5E-006       0.25 7.13589412757785     199.99         23 1.6357421875
       56.42     5E-006       0.25 7.23984544033918     200.03      22.85 1.6552734375
       56.44     5E-006       0.25 7.84680297955798     200.05      22.79 1.708984375
       56.46     5E-006       0.25 8.94715379324621     199.98      23.01 1.8994140625
       56.48     5E-006       0.25 9.74583805910523     200.04      22.78 1.5576171875
        56.5     5E-006       0.25 9.48981780647026     200.01       22.9 1.5283203125
       56.52     5E-006       0.25 11.524149599862     200.02      22.85  1.8359375
       56.54     5E-006       0.25 9.352777406204     200.07      22.72 1.73828125
       56.56     5E-006       0.25 9.31635862341076     200.02      22.82 1.7333984375
       56.58     5E-006       0.25 6.24828456458251     200.01       22.9 1.591796875
        56.6     5E-006       0.25 4.05292807732878     199.99      23.05 1.54296875
       56.62     5E-006       0.25 2.08360000959877     199.97      23.11 1.4501953125
       56.64     5E-006       0.25 0.394536342134663     199.99      23.05 1.4599609375
       56.66     5E-006       0.25 0.923960551160059        200      22.97 1.5869140625
       56.68     5E-006       0.25 0.350999277390994     200.03      22.89 1.5283203125
        56.7     5E-006       0.25 0.6009330874773        200      22.93 1.5283203125
       56.72     5E-006       0.25 0.644366264424977     199.99      23.02 1.4599609375
       56.74     5E-006       0.25 0.632544850141869        200      22.91 1.4892578125
       56.76     5E-006       0.25 0.477588630749309     200.01      22.83 1.69921875
       56.78     5E-006       0.25 0.541893309692969        200      22.98  1.4453125
        56.8     5E-006       0.25 1.41846466293666        200      22.93 1.4990234375
       56.82     5E-006       0.25 0.757468810579683     200.03      22.82 1.455078125
