tau(s);Signal(a.u.)
5e-05;9853.874040408693
0.0001;8343.94599891072
0.00015;6980.125250540913
0.0002;5855.890504714588
0.00025;4923.160888574875
0.0003;4169.076958317574
0.00035;3573.846630814141
0.0004;3028.9636875426568
0.00045;2595.5811823666363
0.0005;2235.112082257192
0.00055;1909.4785398015647
0.0006;1651.1960065151732
0.00065;1455.1372880652245
0.0007;1256.0379591123635
0.00075;1074.9664706279693
0.0008;950.640319007286
0.00085;830.7558976436162
0.0009;714.8419425304045
0.00095;625.2248078583773
0.001;574.1078296063604
0.00105;494.3489935521814
0.0011;418.77202907446764
0.00115;371.26470644111265
0.0012;332.6453699598355
0.00125;327.2424459052907
0.0013;262.1713228121206
0.00135;236.62819241093067
0.0014;209.58859207177815
0.00145;186.27086006646513
0.0015;170.06596566785873
